_Joint Implementation Committee Report_

# **18. Category wise Opening and Closing Ranks of all Courses in IITs**

|S.No.|Institute|Academic Program Name|Seat Type|Gender|OR|CR|
|25|IIT Bhubaneswar|Civil Engineering and M.Tech in Transportation<br>Engineering (5 Years, B. Tech - M. Tech Dual Deg.)|SC|Gender-Neutral|2744|2746|
|26|IIT Bhubaneswar|Civil Engineering and M.Tech in Transportation<br>Engineering (5 Years, B. Tech - M. Tech Dual Deg.)|ST|Gender-Neutral|1233|1233|



_Page 443_


_Joint Implementation Committee Report_













|S.No.|Institute|Academic Program Name|Seat Type|Gender|OR|CR|
|---|---|---|---|---|---|---|
|27|IIT Bhubaneswar|Civil Engineering and M.Tech in Transportation<br>Engineering (5 Years, B. Tech - M. Tech Dual Deg.)|ST|Female-only (including<br>Supernumerary)|1514|1514|
|28|IIT Bhubaneswar|Civil Engineering and M.Tech. in Environmental<br>Engineering (5 Years, B. Tech - M. Tech Dual Deg.)|OPEN|Gender-Neutral|15346|16123|
|29|IIT Bhubaneswar|Civil Engineering and M.Tech. in Environmental<br>Engineering (5 Years, B. Tech - M. Tech Dual Deg.)|OPEN|Female-only (including<br>Supernumerary)|22009|22009|
|30|IIT Bhubaneswar|Civil Engineering and M.Tech. in Environmental<br>Engineering (5 Years, B. Tech - M. Tech Dual Deg.)|EWS|Gender-Neutral|2642|2658|
|31|IIT Bhubaneswar|Civil Engineering and M.Tech. in Environmental<br>Engineering (5 Years, B. Tech - M. Tech Dual Deg.)|EWS|Female-only (including<br>Supernumerary)|4349|4349|
|32|IIT Bhubaneswar|Civil Engineering and M.Tech. in Environmental<br>Engineering (5 Years, B. Tech - M. Tech Dual Deg.)|OBC-NCL|Gender-Neutral|5601|5991|
|33|IIT Bhubaneswar|Civil Engineering and M.Tech. in Environmen
